Date,Price,Open,High,Low,Vol.,Change %
11/21/2020,"18,699.90","18,662.50","18,771.60","18,517.70",0.18K,0.20%
11/20/2020,"18,662.50","17,811.60","18,721.30","17,811.60",0.18K,4.78%
11/19/2020,"17,811.60","17,775.60","18,001.60","17,479.10",0.14K,0.22%
11/18/2020,"17,772.50","17,662.40","18,158.60","17,662.40",0.26K,0.62%
11/17/2020,"17,662.40","16,705.60","17,662.40","16,657.00",0.23K,5.73%
11/16/2020,"16,705.60","15,951.60","16,770.00","15,951.60",0.24K,4.73%
11/15/2020,"15,951.60","16,070.70","16,075.80","15,866.80",0.04K,-0.74%
11/14/2020,"16,070.70","16,328.40","16,328.40","15,843.20",0.12K,-1.58%
11/13/2020,"16,328.40","16,287.60","16,432.10","16,160.00",0.13K,0.25%
11-12-2020,"16,287.60","15,690.30","16,287.60","15,615.40",0.22K,3.81%
11-11-2020,"15,690.30","15,295.90","15,838.90","15,295.90",0.22K,2.58%
11-10-2020,"15,295.90","15,314.30","15,364.70","15,243.30",0.12K,-0.12%
11-09-2020,"15,314.30","15,473.00","15,612.40","14,926.00",0.21K,-1.03%
11-08-2020,"15,473.00","14,805.00","15,520.00","14,805.00",0.19K,4.43%
11-07-2020,"14,816.50","15,571.30","15,632.30","14,800.00",0.20K,-4.85%
11-06-2020,"15,571.30","15,586.00","15,871.30","15,411.00",0.27K,-0.09%
11-05-2020,"15,586.00","14,141.20","15,586.00","14,141.20",0.31K,10.22%
11-04-2020,"14,141.20","14,013.40","14,141.50","13,662.40",0.16K,0.91%
11-03-2020,"14,013.40","13,559.50","14,013.40","13,333.80",0.12K,3.35%
11-02-2020,"13,559.50","13,753.70","13,762.90","13,406.70",0.14K,-1.41%
11-01-2020,"13,753.70","13,794.50","13,840.00","13,693.30",0.08K,-0.30%
10/31/2020,"13,794.70","13,550.40","13,956.50","13,503.50",0.13K,1.80%
10/30/2020,"13,550.40","13,452.10","13,585.20","13,231.00",0.11K,0.73%
10/29/2020,"13,452.10","13,271.90","13,523.40","13,134.20",0.06K,1.36%
10/28/2020,"13,271.90","13,648.50","13,748.30","13,190.90",0.14K,-2.76%
10/27/2020,"13,648.50","13,050.00","13,671.10","13,050.00",0.16K,4.59%
10/26/2020,"13,050.00","13,024.50","13,130.60","12,936.80",0.10K,0.20%
10/25/2020,"13,024.50","13,115.20","13,270.00","12,937.80",0.08K,-0.69%
10/24/2020,"13,115.20","12,921.00","13,119.60","12,913.50",0.08K,1.50%
10/23/2020,"12,921.00","12,968.60","12,991.80","12,861.50",0.09K,-0.37%
10/22/2020,"12,968.60","12,796.70","13,133.70","12,758.20",0.15K,1.34%
10/21/2020,"12,796.70","11,910.30","12,900.00","11,910.30",0.30K,7.44%
10/20/2020,"11,910.30","11,743.70","11,970.00","11,716.80",0.09K,1.42%
10/19/2020,"11,743.70","11,489.70","11,743.70","11,434.00",0.12K,2.21%
10/18/2020,"11,489.70","11,362.80","11,489.70","11,362.80",0.07K,1.12%
10/17/2020,"11,362.80","11,312.90","11,362.80","11,303.60",0.04K,0.44%
10/16/2020,"11,312.90","11,486.10","11,503.10","11,256.10",0.08K,-1.51%
10/15/2020,"11,486.10","11,417.40","11,486.10","11,298.00",0.06K,0.60%
10/14/2020,"11,417.40","11,427.80","11,451.70","11,324.10",0.07K,-0.09%
10/13/2020,"11,427.80","11,535.00","11,535.00","11,375.00",0.06K,-0.94%
10-12-2020,"11,536.40","11,375.70","11,638.30","11,267.70",0.10K,1.41%
10-11-2020,"11,375.70","11,295.40","11,411.00","11,295.40",0.06K,0.71%
10-10-2020,"11,295.40","11,057.70","11,406.60","11,057.70",0.09K,2.15%
10-09-2020,"11,057.70","10,917.70","11,063.50","10,865.80",0.07K,1.31%
10-08-2020,"10,914.40","10,665.00","10,914.40","10,592.50",0.08K,2.34%
10-07-2020,"10,665.00","10,600.40","10,665.00","10,585.30",0.04K,0.61%
10-06-2020,"10,600.40","10,780.00","10,780.00","10,567.50",0.06K,-1.67%
10-05-2020,"10,780.00","10,667.00","10,780.00","10,660.40",0.05K,1.06%
10-04-2020,"10,667.00","10,544.70","10,671.10","10,544.70",0.04K,1.16%
10-03-2020,"10,544.70","10,562.80","10,577.10","10,529.00",0.04K,-0.17%
10-02-2020,"10,562.80","10,619.10","10,619.10","10,431.10",0.07K,-0.53%
10-01-2020,"10,619.10","10,763.10","10,882.10","10,514.80",0.08K,-1.34%
09/30/2020,"10,763.10","10,834.70","10,834.70","10,707.40",0.07K,-0.66%
09/29/2020,"10,834.70","10,695.20","10,834.70","10,684.30",0.07K,1.30%
09/28/2020,"10,695.20","10,767.30","10,914.50","10,695.20",0.08K,-0.67%
09/27/2020,"10,767.30","10,730.80","10,770.90","10,636.40",0.10K,0.34%
09/26/2020,"10,730.80","10,677.80","10,756.90","10,660.20",0.07K,0.50%
09/25/2020,"10,677.80","10,732.40","10,737.00","10,600.00",0.07K,-0.51%
09/24/2020,"10,732.40","10,233.00","10,732.40","10,233.00",0.07K,4.88%
09/23/2020,"10,233.00","10,532.90","10,532.90","10,219.50",0.09K,-2.85%
09/22/2020,"10,532.90","10,423.00","10,532.90","10,415.10",0.07K,1.05%
09/21/2020,"10,423.00","10,922.40","10,963.40","10,392.50",0.12K,-4.57%
09/20/2020,"10,922.40","11,074.40","11,074.40","10,858.50",0.07K,-1.37%
